                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.094986,                0.13125,               0.030974,                      0,                      0,                      0,                      0,                      0,              0.0050375,               0.052632,               0.002781,             0.00077112,                0.12601,                0.21831,               0.031007,                      0,                 0.0928,                 0.0008,                 0.0008
                      1,                0.10282,                0.14261,               0.024975,                      0,                      0,                      0,                      0,                      0,              0.0050375,               0.052632,               0.002781,             0.00077112,                0.12601,                0.21831,               0.031007,                      0,               0.084547,               0.001547,               0.001547
                      2,                0.11469,                0.17147,               0.032723,                      0,                      0,                      0,                      0,                      0,                  0.005,                0.15789,              0.0032845,             0.00083091,                0.12715,                0.22042,               0.031125,                      0,               0.076132,               0.002132,               0.002132
                      3,                0.10303,                0.15768,               0.028015,                      0,                      0,                      0,                      0,                      0,                  0.005,                0.15789,              0.0032845,             0.00083091,                0.12715,                0.22042,               0.031125,                      0,               0.067555,               0.002555,               0.002555
                      4,               0.089526,                0.12606,               0.030264,                      0,                      0,                      0,                      0,                      0,                  0.005,                0.15789,              0.0032845,             0.00083091,                0.12715,                0.22042,               0.031125,                      0,               0.058816,               0.002816,               0.002816
                      5,               0.089185,                0.13157,               0.030376,                      0,                      0,                      0,                      0,                      0,                  0.005,                0.15789,              0.0032845,             0.00083091,                0.12715,                0.22042,               0.031125,                      0,               0.049915,               0.002915,               0.002915
                      6,               0.080093,                0.12165,               0.024878,                      0,              0.0016667,               0.052632,             0.00092335,             9.2335e-05,              0.0016667,               0.052632,              0.0014906,             0.00014906,                0.12484,                0.22219,               0.031371,                      0,               0.040852,               0.002852,               0.002852
                      7,                0.08285,                0.12141,               0.023276,                      0,              0.0016667,               0.052632,             0.00092335,             9.2335e-05,              0.0016667,               0.052632,              0.0014906,             0.00014906,                0.12484,                0.22219,               0.031371,                      0,               0.031627,               0.002627,               0.002627
                      8,               0.088419,                0.12453,               0.029156,                      0,              0.0016667,               0.052632,             0.00092335,             9.2335e-05,              0.0016667,               0.052632,              0.0014906,             0.00014906,                0.12484,                0.22219,               0.031371,                      0,                0.02224,                0.00224,                0.00224
                      9,               0.087882,                0.12523,               0.025167,                      0,              0.0016667,               0.052632,             0.00092335,             9.2335e-05,              0.0016667,               0.052632,              0.0014906,             0.00014906,                0.12484,                0.22219,               0.031371,                      0,               0.012691,               0.001691,               0.001691
                     11,                      0,                      0,                      0,                      0,                  0.005,                0.15789,              0.0032821,             0.00083051,                0.12718,                0.22065,               0.031077,                      0
